factor,slider.response,my_rs,difference
size_manipulated,0.221556668,0.235909091,0.01435242299999997
size_manipulated,0.153848843,0.361590909,0.207742066
standard_plot,0.726196018,0.810454545,0.08425852700000003
size_manipulated,0.831544461,0.774545455,-0.05699900599999996
size_manipulated,0.316859402,0.433409091,0.116549689
standard_plot,0.053436347,0.379545455,0.326109108
size_manipulated,0.131456604,0.415454545,0.283997941
size_manipulated,0.766651679,0.648863636,-0.117788043
standard_plot,0.448090685,0.648863636,0.200772951
size_manipulated,0.152635396,0.307727273,0.15509187700000002
size_manipulated,0.953720432,0.846363636,-0.10735679600000005
standard_plot,0.205057271,0.738636364,0.533579093
standard_plot,0.072341953,0.433409091,0.361067138
standard_plot,1,0.99,-0.01
size_manipulated,0.207708571,0.2,-0.00770857099999999
size_manipulated,1,0.99,-0.01
standard_plot,1,0.972045455,-0.02795454500000005
size_manipulated,0.843733181,0.738636364,-0.10509681700000006
size_manipulated,0.099479268,0.325681818,0.22620255
size_manipulated,0.099479268,0.451363636,0.351884368
standard_plot,0.621527981,0.846363636,0.224835655
standard_plot,0.479477743,0.720681818,0.24120407499999996
standard_plot,0.284554511,0.684772727,0.400218216
standard_plot,0.472451104,0.756590909,0.284139805
standard_plot,0.702809245,0.864318182,0.16150893700000002
standard_plot,0.290627645,0.666818182,0.376190537
standard_plot,0.083316786,0.702727273,0.619410487
standard_plot,0.048384332,0.415454545,0.367070213
standard_plot,0.108255141,0.289772727,0.181517586
size_manipulated,0.55882487,0.684772727,0.125947857
standard_plot,0.849159478,0.936136364,0.08697688599999998
standard_plot,0.258142192,0.559090909,0.30094871700000003
size_manipulated,1,0.864318182,-0.135681818
size_manipulated,0.745188395,0.523181818,-0.22200657700000004
standard_plot,0.020521817,0.235909091,0.215387274
size_manipulated,0.021077372,0.702727273,0.681649901
size_manipulated,0.898039958,0.918181818,0.02014185999999995
size_manipulated,0.711947157,0.720681818,0.00873466099999997
standard_plot,0.075381436,0.3975,0.32211856400000005
size_manipulated,0.788106147,0.756590909,-0.031515238
size_manipulated,0.803183933,0.630909091,-0.17227484199999998
standard_plot,0.236249152,0.612954545,0.37670539300000006
standard_plot,0.04285258,0.2,0.15714742
standard_plot,0.10473643,0.630909091,0.526172661
size_manipulated,0.775163167,0.828409091,0.05324592400000005
standard_plot,0.326039225,0.595,0.268960775
size_manipulated,0.695038452,0.577045455,-0.117992997
size_manipulated,0.275384657,0.3975,0.12211534300000004
standard_plot,0.846354709,0.900227273,0.05387256400000007
size_manipulated,0.114079963,0.217954545,0.103874582
standard_plot,0.024016588,0.361590909,0.337574321
standard_plot,0.049071113,0.217954545,0.168883432
standard_plot,0.638709174,0.774545455,0.135836281
size_manipulated,1,0.954090909,-0.04590909099999996
size_manipulated,0.418971558,0.469318182,0.05034662399999995
size_manipulated,1,0.900227273,-0.09977272699999996
standard_plot,0.102940504,0.343636364,0.24069586000000004
standard_plot,0.136830444,0.487272727,0.350442283
standard_plot,0.081914029,0.577045455,0.495131426
size_manipulated,0.157407407,0.235909091,0.07850168399999999
standard_plot,0.213888875,0.325681818,0.111792943
standard_plot,0.515740783,0.846363636,0.33062285299999994
size_manipulated,0.791666667,0.666818182,-0.124848485
standard_plot,0.431481467,0.577045455,0.14556398800000003
size_manipulated,0.224074116,0.325681818,0.10160770200000002
size_manipulated,0.896296325,0.882272727,-0.01402359799999997
size_manipulated,0.75462963,0.702727273,-0.05190235700000001
size_manipulated,0.441666709,0.684772727,0.24310601800000003
size_manipulated,0.780555584,0.810454545,0.029898961
size_manipulated,0.161111125,0.343636364,0.18252523900000003
standard_plot,0.055555556,0.523181818,0.467626262
size_manipulated,0.787037037,0.7925,0.00546296299999993
standard_plot,0.062037044,0.361590909,0.29955386500000003
standard_plot,0.553703732,0.882272727,0.32856899500000003
size_manipulated,0.325925968,0.487272727,0.161346759
size_manipulated,0.718518504,0.774545455,0.0560269510000001
standard_plot,0.170370384,0.595,0.42462961599999993
standard_plot,0.224074116,0.666818182,0.442744066
size_manipulated,0.170370384,0.217954545,0.04758416099999998
size_manipulated,0.259259259,0.505227273,0.245968014
size_manipulated,0.856481481,0.864318182,0.007836701
size_manipulated,0.178703697,0.253863636,0.07515993900000001
size_manipulated,0.148148148,0.271818182,0.123670034
standard_plot,0.113888882,0.415454545,0.301565663
size_manipulated,0.287037037,0.523181818,0.23614478099999997
